Iteracion,Movimiento_i,Movimiento_j,Coste Actual,Delta
1,8,9,34897,-36
2,2,7,34861,-36
3,11,13,34432,-429
4,1,8,34426,-6
5,5,7,33842,-584
6,7,16,33716,-126
7,9,16,33658,-58
8,14,16,33567,-91
9,3,5,33427,-140
10,4,9,33421,-6
11,6,14,33335,-86
12,8,17,33326,-9
13,2,7,33168,-158
14,1,7,33147,-21
15,5,6,33121,-26
16,7,15,33016,-105
17,9,10,32974,-42
18,14,16,32725,-249
19,4,7,32634,-91
20,6,17,32323,-311
21,2,14,32075,-248
22,10,15,32000,-75
23,1,6,31917,-83
24,6,16,31865,-52
25,2,7,31693,-172
26,1,18,31643,-50
27,16,18,31302,-341
28,2,10,31283,-19
